mes;dia;santo
1;1;María, Madre de Dios
1;2;Basilio, Gregorio
1;3;Genoveva
1;4;Yolando, Rigoberto
1;5;Emilia
1;6;Wilma, Melanio
1;7;Raimundo
1;8;Luciano, Eladio
1;9;Lucrecia
1;10;Gonzalo
1;11;Alejandro
1;12;Julián
1;13;Hilario
1;14;Félix
1;15;Raquel, Mauro
1;16;Marcelo
1;17;Antonio, Guido
1;18;Prisca - Priscila
1;19;Mario
1;20;Sebastián, Fabián
1;21;Inés
1;22;Laura Vicuña, Vicente
1;23;Virginia
1;24;Francisco de Sales
1;25;Elvira
1;26;Timoteo, Tito, Paula - Paola
1;27;Ángela Merici
1;28;Tomás de Aquino
1;29;Valerio 30 Martina
1;31;Juan Bosco, Marcela
2;1;Severiano
2;2;Presentación del Señor
2;3;Blas, Oscar
2;4;Gilberto
2;5;Agueda
2;6;Doris, Pablo Miki
2;7;Gastón
2;8;Jerónimo Emiliano, Jacqueline
2;9;Rebeca
2;10;Escolástica
2;11;N.Sra. de Lourdes
2;12;Panfilio, Pamela
2;13;Batriz
2;14;Cirilo, Metodio, Valentino
2;15;Fausto-ino, Jovita
2;16;Samuel
2;17;Alexis
2;18;Bernardita
2;19;Álvaro
2;20;Eleuterio, Claudio
2;21;Pedro Daminán, Severino
2;22;Eleonora, Nora
2;23;Florencio
2;24;Rubén, Sergio
2;25;Néstor
2;26;Augusto
2;27;Leandro, Gabriel Dol
2;28;Román
2;29;Ups hoy no hay santoral
3;1;Rosendo
3;2;Lucio
3;3;Celedonio
3;4;Ariel
3;5;Olivia
3;6;Elcira
3;7;Perpétua, Felicidad
3;8;Juan de Dios
3;9;Francisca Romana
3;10;Macario
3;11;Eulogio
3;12;Norma
3;13;Rodrigo
3;14;Matilde
3;15;Luisa de Marillac
3;16;Heriberto
3;17;Patricio
3;18;Cirilo
3;19;José
3;20;Alejandra
3;21;Eugenia
3;22;Lea
3;23;Dimas
3;24;Elba, Catalina de Suecia
3;25;Anunciación
3;26;Braulio
3;27;Ruperto
3;28;Octavio
3;29;Gladys
3;30;Artemio
3;31;Benjamín, Balbina
4;1;Hugo
4;2;Sandra, Francisco de Paula
4;3;Ricardo
4;4;Isidoro
4;5;Vicente Ferrer
4;6;Edith
4;7;Juan Bautista de La Salle
4;8;Constanza
4;9;Demetrio
4;10;Ezequiel
4;11;Estanislao
4;12;Arnoldo, Julio
4;13;Martín, Aída
4;14;Máximo
4;15;Crescente
4;16;Flavio
4;17;Leopoldo, Aniceto
4;18;Wladimir
4;19;Ema
4;20;Edgardo
4;21;Anselmo
4;22;Karina
4;23;Jorge
4;24;Fidel
4;25;Marcos
4;26;Cleto, Marcelino
4;27;Zita, Toribio de Mogrovejo
4;28;Valeria
4;29;Catalina de Siena
4;30;Amador, Pío V
5;1;José Obrero
